timestamp,t_days,G,DNI,GHI,T_amb,pressure_hPa,doy_sin,doy_cos,hour_sin,hour_cos,PR_raw,P
2019-01-01 09:30:00,0.0,0.024831,0.012245,0.014242,0.077055,0.841608,0.508604,0.999931,0.807836,0.124535,0.273016,0.86
2019-01-01 09:45:00,0.010417,0.046652,0.011224,0.028484,0.066781,0.839243,0.508604,0.999931,0.781126,0.101564,0.517391,2.38
2019-01-01 10:00:00,0.020833,0.155756,0.036735,0.059003,0.07363,0.841608,0.508604,0.999931,0.753222,0.080739,0.405063,4.8
2019-01-01 10:15:00,0.03125,0.187359,0.035714,0.08647,0.07363,0.839243,0.508604,0.999931,0.724242,0.062149,0.582796,8.13
2019-01-01 10:30:00,0.041667,0.311512,0.055102,0.133266,0.080479,0.829787,0.508604,0.999931,0.694312,0.045874,0.682883,15.16
2019-01-01 10:45:00,0.052083,0.30474,0.05,0.131231,0.089041,0.825059,0.508604,0.999931,0.663558,0.031982,0.765977,16.66
2019-01-01 11:00:00,0.0625,0.289691,0.029592,0.149542,0.09589,0.820331,0.508604,0.999931,0.632113,0.020535,0.929157,19.28
2019-01-01 11:15:00,0.072917,0.343115,0.032653,0.18413,0.113014,0.810875,0.508604,0.999931,0.600112,0.01158,0.900823,21.89
2019-01-01 11:30:00,0.083333,0.427389,0.037755,0.234995,0.123288,0.803783,0.508604,0.999931,0.567691,0.005156,0.865217,25.87
2019-01-01 11:45:00,0.09375,0.474793,0.037755,0.268566,0.14726,0.799054,0.508604,0.999931,0.53499,0.00129,0.856581,28.31
2019-01-01 12:00:00,0.104167,0.530474,0.036735,0.317396,0.150685,0.791962,0.508604,0.999931,0.502148,0.0,0.834558,30.67
2019-01-01 12:15:00,0.114583,0.536494,0.035714,0.321465,0.164384,0.78487,0.508604,0.999931,0.469306,0.00129,0.837954,31.13
2019-01-01 12:30:00,0.125,0.568849,0.032653,0.355036,0.160959,0.77305,0.508604,0.999931,0.436605,0.005156,0.860814,33.83
2019-01-01 12:45:00,0.135417,0.574116,0.027551,0.366226,0.162671,0.765957,0.508604,0.999931,0.404184,0.01158,0.873644,34.64
2019-01-01 13:00:00,0.145833,0.561324,0.022449,0.364191,0.169521,0.763593,0.508604,0.999931,0.372183,0.020535,0.896907,34.8
2019-01-01 13:15:00,0.15625,0.596689,0.020408,0.39471,0.172945,0.758865,0.508604,0.999931,0.340738,0.031982,0.89356,36.77
2019-01-01 13:30:00,0.166667,0.599699,0.020408,0.412004,0.172945,0.754137,0.508604,0.999931,0.309984,0.045874,0.866264,35.82
2019-01-01 13:45:00,0.177083,0.592927,0.018367,0.429298,0.179795,0.744681,0.508604,0.999931,0.280054,0.062149,0.847677,34.67
2019-01-01 14:00:00,0.1875,0.538751,0.017347,0.363174,0.178082,0.742317,0.508604,0.999931,0.251074,0.080739,0.898928,33.53
2019-01-01 14:15:00,0.197917,0.514673,0.015306,0.341811,0.178082,0.737589,0.508604,0.999931,0.22317,0.101564,0.896359,32.0
